order_id,customer_name,product_category,sub_category,mart_city,order_date,mart_region,sales,discounts,profits,mart_state
OD1,Harish,Oil & Masala,Masalas,Vellore,2017-11-08,North,1254.000,0.120,401.280,Tamil Nadu
OD2,Sudha,Beverages,Health Drinks,Krishnagiri,2017-11-08,South,749.000,0.180,149.800,Tamil Nadu
OD3,Hussain,Food Grains,Atta & Flour,Perambalur,2017-06-12,West,2360.000,0.210,165.200,Tamil Nadu
OD4,Jackson,Fruits & Veggies,Fresh Vegetables,Dharmapuri,2016-10-11,South,896.000,0.250,89.600,Tamil Nadu
OD5,Ridhesh,Food Grains,Organic Staples,Ooty,2016-10-11,South,2355.000,0.260,918.450,Tamil Nadu
OD6,Adavan,Food Grains,Organic Staples,Dharmapuri,2015-06-09,West,2305.000,0.260,322.700,Tamil Nadu
OD7,Jonas,Fruits & Veggies,Fresh Vegetables,Trichy,2015-06-09,West,826.000,0.330,346.920,Tamil Nadu
OD8,Hafiz,Fruits & Veggies,Fresh Fruits,Ramanadhapuram,2015-06-09,West,1847.000,0.320,147.760,Tamil Nadu
OD9,Hafiz,Bakery,Biscuits,Tirunelveli,2015-06-09,West,791.000,0.230,181.930,Tamil Nadu
OD10,Krithika,Bakery,Cakes,Chennai,2015-06-09,West,1795.000,0.270,484.650,Tamil Nadu
OD11,Ganesh,Snacks,Chocolates,Karur,2015-06-09,West,1903.000,0.130,437.690,Tamil Nadu
OD12,Yadav,"Eggs, Meat & Fish",Eggs,Namakkal,2015-06-09,West,701.000,0.100,308.440,Tamil Nadu
OD13,Sharon,Snacks,Cookies,Dindigul,2018-04-15,South,1659.000,0.190,315.210,Tamil Nadu
OD14,Peer,Fruits & Veggies,Fresh Vegetables,Kanyakumari,2017-12-05,West,1277.000,0.250,63.850,Tamil Nadu
OD15,Sundar,"Eggs, Meat & Fish",Chicken,Kanyakumari,2016-11-22,Central,831.000,0.220,207.750,Tamil Nadu
OD16,Ramesh,Oil & Masala,Edible Oil & Ghee,Krishnagiri,2016-11-22,Central,1440.000,0.110,100.800,Tamil Nadu
OD17,Alan,Bakery,Cakes,Dharmapuri,2015-11-11,Central,1678.000,0.280,318.820,Tamil Nadu
OD18,Arutra,Beverages,Health Drinks,Bodi,2015-05-13,West,1617.000,0.190,113.190,Tamil Nadu
OD19,Haseena,"Eggs, Meat & Fish",Mutton,Tenkasi,2015-08-27,West,1757.000,0.350,386.540,Tamil Nadu
OD20,Verma,Beverages,Soft Drinks,Kanyakumari,2015-08-27,West,692.000,0.290,159.160,Tamil Nadu
OD21,Hafiz,Beverages,Health Drinks,Vellore,2015-08-27,West,522.000,0.190,208.800,Tamil Nadu
OD22,Alan,Food Grains,Dals & Pulses,Karur,2017-12-09,Central,948.000,0.130,47.400,Tamil Nadu
OD23,Haseena,Beverages,Soft Drinks,Krishnagiri,2017-12-09,Central,707.000,0.340,148.470,Tamil Nadu
OD24,Alan,Fruits & Veggies,Organic Vegetables,Tenkasi,2018-07-16,East,969.000,0.290,77.520,Tamil Nadu
OD25,Sharon,"Eggs, Meat & Fish",Eggs,Ooty,2016-09-25,West,1100.000,0.110,495.000,Tamil Nadu
OD26,Krithika,Snacks,Chocolates,Tirunelveli,2017-01-16,West,2022.000,0.110,202.200,Tamil Nadu
OD27,Muneer,Snacks,Cookies,Trichy,2017-01-16,West,541.000,0.120,43.280,Tamil Nadu
OD28,Jackson,Bakery,Biscuits,Viluppuram,2016-09-17,East,979.000,0.220,401.390,Tamil Nadu
OD29,Veronica,Beverages,Soft Drinks,Krishnagiri,2016-09-17,East,1988.000,0.220,874.720,Tamil Nadu
OD30,Shah,Oil & Masala,Masalas,Kanyakumari,2016-09-17,East,989.000,0.170,69.230,Tamil Nadu
OD31,Ramesh,Beverages,Soft Drinks,Dharmapuri,2016-09-17,East,1845.000,0.240,166.050,Tamil Nadu
OD32,Mathew,Snacks,Noodles,Vellore,2016-09-17,East,1400.000,0.110,420.000,Tamil Nadu
OD33,Akash,Oil & Masala,Edible Oil & Ghee,Trichy,2016-09-17,East,2163.000,0.260,670.530,Tamil Nadu
OD34,Anu,Oil & Masala,Masalas,Madurai,2016-09-17,East,1689.000,0.340,337.800,Tamil Nadu
OD35,Anu,Beverages,Health Drinks,Vellore,2018-10-19,Central,809.000,0.320,80.900,Tamil Nadu
OD36,Sabeela,"Eggs, Meat & Fish",Eggs,Tirunelveli,2017-12-08,Central,1265.000,0.220,569.250,Tamil Nadu
OD37,James,Beverages,Soft Drinks,Salem,2017-12-08,Central,934.000,0.350,56.040,Tamil Nadu
OD38,Willams,Fruits & Veggies,Organic Vegetables,Ramanadhapuram,2016-12-27,Central,1354.000,0.160,446.820,Tamil Nadu
OD39,Jonas,Fruits & Veggies,Fresh Fruits,Chennai,2016-12-27,Central,1751.000,0.190,280.160,Tamil Nadu
OD40,Sabeela,"Eggs, Meat & Fish",Chicken,Cumbum,2016-12-27,Central,2045.000,0.230,879.350,Tamil Nadu
OD41,Malik,Beverages,Health Drinks,Namakkal,2016-12-27,Central,660.000,0.190,92.400,Tamil Nadu
OD42,Arutra,Beverages,Soft Drinks,Salem,2018-09-10,Central,1868.000,0.180,616.440,Tamil Nadu
